,judul,konten,kategori
10,"'Ongkos' Kartu Pra Kerja Dikirim Hari Ini, ke Mana?",,finance
11,"'Ongkos' Kartu Pra Kerja Dipakai Buat Biaya Hidup dan Usaha, Cukup?","Para peserta program Kartu Pra Kerja dapat insentif sebesar Rp 2.400.000 per orang dari total Rp 3.550.000. Dana murni insentif akan dibayarkan setiap bulannya Rp 600.000 selama empat bulan.Sedangkan sisa dana dari Rp 3,5 juta tersebut merupakan biaya pelatihan Rp 1.000.000 dan dana survei kebekerjaan sebesar Rp 150.000.Pemberian insentif diharapkan dapat membantu masyarakat memenuhi kebutuhan hidupnya selama pandemi virus Corona. Bahkan, pemerintah juga tidak melarang jika insentif tersebut dimanfaatkan sebagai modal usaha.Perencana keuangan dari Advisors Alliance Group, Andy Nugroho menilai insentif sebesar Rp 600.000 bisa dimanfaatkan sekaligus sebagai biaya kebutuhan sehari-hari dan modal usaha. Namun, diusahakan porsi biaya pemenuhan hidup sehari-hari harus lebih besar.""Kalau memang bisa dikombinasikan akan lebih baik. Namun perlu diingat juga bila dari budget tersebut masih harus di-split untuk kebutuhan sehari-hari dan belanja makanan, maka jangan gunakan seluruh dana yang ada untuk digunakan sebagai modal usaha. Paling maksimal adalah 50% saja,"" kata Andy saat dihubungi detikcom, Jakarta, Kamis (23/4/2020).Jika insentif dimanfaatkan untuk modal usaha, Andy menyebut ada beberapa jenis usaha yang berpotensi cuan di tengah pandemi Corona, misalnya berbisnis apapun dengan penjualan online.""Barang-barang atau komoditas yang bisa dijual semisal masker kain, hand sanitizer, sayuran dan buah segar, ataupun suplemen-suplemen yang bisa meningkatkan imunitas seperti madu ataupun obat-obatan herbal,"" katanya.Sedangkan jika insentif dimanfaatkan hanya untuk biaya kehidupan sehari-hari, maka harus digunakan untuk kebutuhan yang prioritas seperti membayar cicilan kredit dan makanan sehari-hari.""Salah satu cara menghematnya dengan belanja bahan mentah dan masak sendiri. Kita sebenarnya juga bisa belanja bahan-bahan mentah dengan gizi tinggi seperti tempe, tahu, dan sayur-sayuran,"" ujarnya.",finance
12,'Ongkos' Peserta Kartu Pra Kerja Dikirim Lewat Dompet Digital,"Tercatat sudah ada 2.078.026 orang yang masuk dalam joint batch Kartu Pra Kerja. Dari angka itu akan dipilih 200 ribu peserta yang mulai mengikuti pelatihan gelombang pertama.Mereka yang sudah dapat mengikuti pelatihan tentunya akan mendapatkan bantuan biaya dengan total Rp 3,5 juta. Dari angka itu Rp 1 juta untuk biaya pelatihan lalu sisanya diberikan dalam bentuk uang saku dan insentif.Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menjelaskan nantinya uang saku dan insentif diberikan melalui e-wallet atau dompet digital. Akun dompet digital itu akan diberikan setelah peserta mengikuti pelatihan dan mendapatkan sertifikasi.""Sudah ikut pelatihan maka akan dapat sertifikasi secara elektronik. Dengan sertifikasi itu maka otomatis akan membuat sistem yang bersangkutan dapat virtual account atau e-wallet. Apakah menggunakan LinkAja, OVO atau apapun sesuai pilihan,"" terangnya dalam konferensi pers secara virtual, Kamis (16/4/2020).Pemerintah akan mengirimkan uang saku dan insentif itu melalui bank yang telah ditunjuk yakni BNI.Airlangga menjabarkan, untuk uang saku sebesar Rp 2,4 juta akan dikirimkan setiap bulannya sebesar Rp 600 ribu selama 4 bulan. Sementara untuk insentif sebesar Rp 150 ribu merupakan uang yang dikirimkan setiap kali peserta mengisi survei untuk evaluasi.Sedangkan uang pelatihan disediakan sebesar Rp 1 juta. Dengan deposit itu peserta bebas memilih jenis pelatihan yang dikehendaki.""Misalnya ikut pelatihan senilai Rp 400 ribu, lalu biaya pelatihan sebesar Rp 1 juta, masih bisa dimanfaatkan untuk pelatihan berikutnya. Dengan syarat pelatihan sudah diikuti secara lengkap,"" terangnya.",finance
13,"'Terjangkit' Corona, Ekonomi China Sampai Minus 6,8%","Pertumbuhan ekonomi China kuartal I 2020 dilaporkan mengalami kontraksi 6,8%. Hal ini karena dampak munculnya COVID-19 yang saat ini menyebar ke banyak negara.Kontraksi ini merupakan penurunan yang paling dalam sejak 1992. Analis yang disurvei oleh Reuters memprakirakan produk domestik bruto (PDB) China akan mengalami kontraksi 6,5%.Mengutip CNBC China memang mengalami tekanan yang luar biasa akibat COVID-19 yang menyebabkan ketidakstabilan perekonomian China dalam beberapa bulan.Untuk kembali bangkit, China menghadapi kesulitan dan tantangan baru untuk menjalankan pekerjaan dan memenuhi produksi.Kepala Ekonom TS Lombard Bo Zhuang mengungkapkan saat ini diharapkan proses pemulihan ekonomi china berpola V shape.""Guncangan yang terjadi sangat besar, bahkan setelah lockdown orang-orang juga tetap berhati-hati dalam melakukan konsumsi,"" kata Zhuang dikutip dari CNBC, Jumat (17/4/2020).Memang sejak merebaknya Corona di kota Wuhan, roda perekonomian sempat terhenti pada awal tahun. Hal ini dilakukan sebagai karantina skala besar untuk pembatasan dan menekan penyebaran virus.Ekonomi China saat ini mulai bergerak kembali. Namun memang dibutuhkan waktu agar semua kembali normal. Hal ini karena banyak negara yang menjadi mitra dagang China sedang terdampak Corona.",finance
14,"1,1 Juta Kartu Pra Kerja Disiapkan Untuk Pekerja Pariwisata","Kartu Pra Kerja juga dipersiapkan khusus untuk menampung para pekerja di sektor pariwisata. Sebab sektor ini menjadi sektor yang paling babak belur dihantam wabah COVID-19.Menteri Pariwisata dan Ekonomi Kreatif Wishnutama mengatakan, dirinya sudah berkoordinasi dengan Kementerian Ketenagakerjaan terkait Kartu Pra Kerja. Nantinya disiapkan Kartu Pra Kerja untuk menampung 1,1 juta tenaga kerja sektor pariwisata.""Berkaitan dengan Kartu Pra Kerja, tadi Ibu Menaker dan kami, ada 1,1 juta yang terkait tenaga kerja yang dapat Kartu Pra Kerja. Kira-kira yang bisa mendapatkan itu 1,1 juta orang,"" tuturnya dalam konferensi virtual, Kamis (16/4/2020).Selain pekerja di sektor pariwisata, pemerintah juga menaruh perhatian kepada pelaku UMKM. Pihaknya mencatat ada 2,1 juta pelaku UMKM yang ada di sektor pariwisata.Begitu juga dengan pekerja kreatif yang berkaitan dengan pertunjukan seni. Pemerintah akan menyiapkan bansos khusus""Khusus untuk pekerja kreatif yang berkaitan dengan seni kita bekerja sama juga dengan Kemensos untuk berikan bansos secara langsung. Ini juga sedang dalam perencanaan agar lebih tepat sasaran,"" tuturnya.Meski begitu pemerintah yakin masa kelam ini akan berakhir di akhir tahun. Dengan begitu sektor pariwisata akan pulih tahun depan.Bahkan pemerintah percaya 2021 sektor pariwisata akan booming. Sebab para turis selama masa pandemi harus menahan hasratnya untuk berwisata.""Kita meyakini di 2021 karena WFH ini pariwisata justru bisa rebound dengan sangat signifikan. Tentu kita juga harus berkompetisi dengan negara lain setelah pasca COVID-19 ini berakhir untuk melakukan berbagai macam strategi ke depan,"" kata Wishnutama.",finance
15,"1,3 Juta Pekerja Transportasi Darat Resah Mudik Dilarang","Pemerintah melarang masyarakat mudik atau pulang kampung Lebaran tahun ini. Pelarangan ini dilakukan agar penyebaran COVID-19 dapat ditekan.Pekerja di bidang transportasi darat khawatir dengan adanya larangan tersebut. Ketua Bidang Angkutan Penumpang DPP Organda, Kurnia Lesani Adnan menjelaskan saat ini ada sekitar 130.000 orang yang masih bekerja dari 1,3 juta yang tercatat. Sani menyebut hingga saat ini perusahaan bus dan angkutan lain belum mengambil langkah pemutusan hubungan kerja (PHK) sepihak terhadap pegawainya.""Sampai saat ini kami belum mengambil langkah ini (PHK dan dirumahkan). Kami masih jaga sesuai dengan kemampuan kami,"" kata Sani saat dihubungi detikcom, Selasa (21/4/2020).Dia mengungkapkan, saat ini para perusahaan sedang memikirkan bagaimana caranya untuk bertahan dari tekanan pandemi ini.""Pertanyaannya sekarang adalah, sejauh mana kami mampu bertahan,"" jelas dia.Apalagi untuk bus pariwisata yang memang sudah tidak beroperasi sejak akhir Februari dan Maret benar-benar tidak ada perjalanan. Sani mengharapkan pemerintah bisa benar-benar juga memperhatikan para pekerja di sektor transportasi darat ini.",finance
16,10 Barang yang Wajib Dibawa Ratu Inggris Saat Traveling,"Kemanapun Ratu Inggris, Elizabeth II berkelana, 10 barang ini wajib dibawa. Apa saja ya?Ratu Elizabeth II dapat disebut sebagai anggota kerajaan Inggris yang paling sering traveling. Sejak dinobatkan sebagai ratu pada 1953, ia telah mengunjungi lebih dari 120 negara.Nah, karena frekuensi tinggi traveling itu, sang ratu pun punya sejumlah barang yang wajib ada bersamanya supaya perjalanan menjadi lebih nyaman. Dirangkum dari Reader Digest, inilah barang-barang tersebut.Sebagai pimpinan tertinggi di Inggris, sudah pasti kebersihan dan kesehatan ratu harus diutamakan. Ratu selalu membawa tisu toilet sendiri sehingga tuan rumah yang akan menjamunya tak perlu khawatir untuk memilih dan menyiapkan jenis tisu yang cocok.Konon, tisu toilet yang selalu dibawa ratu itu merupakan tisu keluaran perusahaan Andrex sebab perusahaan tersebut memiliki surat perintah kerajaan sejak 1978.Nah kalau yang satu ini, traveler juga biasanya menyiapkan kan? Sama seperti traveler pada umumnya, ratu juga bisa mengalami jet lag saat bepergian.Oleh sebab itu ia akan minum obat jet lag homeopati dan permen gula, yang dianggap dapat membantunya mengatur kadar gula sebelum waktu makan di tempat tujuan.Saat bepergian, ratu selalu didampingi oleh dokter pribadinya. Dokter ini akan membawa berbagai obat dan kebutuhan medis yang sesuai dengan kondisi kesehatan ratu.Salah satu yang wajib dibawa adalah darah yang sesuai dengan golongan darah sang ratu dan Pangeran Philip. Kantong darah ini terutama dibawa saat ratu berkunjung ke negara yang minim persediaan darah.Dari berbagai pakaian yang ratu bawa, pakaian warna hitam wajib dibawa. Kenapa? Ini bermula saat ayahnya, Raja George VI meninggal pada 1952, Ratu Elizabeth II sedang pergi ke Kenya dan tidak membawa pakaian hitam yang cocok untuk berkabung.Saat pesawatnya mendarat kembali ke Inggris, ia harus menunggu dibawakan pakaian hitam sebelum bisa turun dari pesawat. Sejak itu, semua keluarga Inggris harus membawa pakaian hitam setiap kali mereka pergi ke luar negeri.Berapa banyak pakaian yang biasanya traveler siapkan saat bepergian? Ratu Elizabeth II biasanya akan membawa 30 pasang pakaian setiap ia bepergian.Ratu memiliki jadwal yang padat sehingga wajar bila ia harus menyiapkan banyak pakaian. Seluruh pakaian itu dikemas dalam pelindung yang akan menjaga mereka dalam kondisi bersih.Ratu tak akan melewatkan ritual minum teh di siang hari. Jadi, kemanapun ia pergi, stafnya akan membawakan teh favoritnya dan scone lengkap dengan krim dan kue Dundee. 

",travel
17,10 Bukti Kalau Moon Ga Young Mempesona Saat Kulineran,,food
18,10 Pose Cantik Shin Ye Eun yang Kerap Dapat Kiriman Makanan dari Fansnya!,,food
19,10 Potret Dinda Shafay Saat Ngemil dan Nongkrong di Kafe,,food
20,"10 Proyek Berpotensi Keluar dari PSN, Termasuk Pesawat Habibie","Menteri Koordinator Kemaritiman dan Investasi Luhut Binsar Pandjaitan dan Menko Perekonomian Airlangga Hartarto baru saja melakukan rapat membahas soal proyek strategis nasional (PSN). Dalam rapat tersebut pemerintah sepakat untuk menyeleksi beberapa proyek untuk keluar dari PSN.Airlangga memaparkan setidaknya akan ada 10 program dalam daftar PSN yang berpotensi akan dikeluarkan. Kebanyakan proyek ini penyelesaiannya melebihi tahun 2024.""Berdasarkan evaluasi pelaksanaan PSN, terdapat 9 PSN dan 1 Program yang penyelesaiannya melebihi 2024 sehingga dikeluarkan dari daftar PSN,"" papar Airlangga seperti dikutip dari keterangan tertulis yang diterbitkan pihak Luhut, Kamis (16/4/2020).Juru Bicara Menko Kemaritiman dan Investasi menjelaskan proyek-proyek yang dikeluarkan dari PSN, mulai dari pengembangan tol Palembang-Tanjung Api-api hingga pengembangan industri pesawat.""Jadi semua proyek ini nantinya berpotensi akan dikeluarkan dari PSN, tapi belum diputuskan. Masalahnya, proyek-proyek ini kemungkinan akan selesai melebihi tahun 2024,"" jelas Jodi kepada detikcom.Proyek pesawat R80 besutan mendiang mantan Presiden BJ Habibie termasuk yang berpotensi dikeluarkan dari daftar PSN. Klik halaman selanjutnya.Beberapa proyek tersebut adalah, pembangunan Jalan Tol Palembang-Tanjung Api-api, Tol Batu Ampar-Muka Kuning-Hang Nadim, Pelabuhan Sorong-Seget, juga Penyediaan Air Minum di wilayah (Mamminasata Makassar, Maros, Sungguminasa, dan Takalar).Kemudian ada juga Bendungan Kolhua NTT, Bendungan Rokan Kiri Riau, Bendungan Jenelata Sulsel, Bendungan Matenggeng di Jateng dan dua program pengembangan industri pesawat yaitu N245 dan R80.Jodi menjelaskan bahwa peninjauan ulang untuk proyek PSN bukan didasarkan kepada pembiayaan APBN. Tetapi kepada evaluasi atas kemungkinan proyek-proyek tersebut bisa diselesaikan sebelum 2024 atau tidak.""Selain itu, ada juga PSN yang disponsori oleh sektor swasta yang diusulkan untuk dikeluarkan karena kesulitan pendanaan yang dialami oleh pihak sponsor. Jadi tidak ada revisi pembiayaan PSN,"" jelas Jodi.",finance
21,"10 Ribu UMKM di Cianjur Terimbas Corona, Pekerja Dirumahkan","Dinas Koperasi UMKM Perindustrian dan Perdagangan (Diskoperindag) Kabupaten Cianjur mencatat sekitar 10 ribu UMKM di Cianjur terimbas wabah COVID-19. Ada yang terpaksa setop sementara, dan ada yang bertahan dengan beralih produksi. Kepala Diskoperindag Kabupaten Cianjur, Tohari Sastra, mengatakan, jumlah UMKM di Cianjur mencapai 24 ribu pelaku usaha, tetapi dampak ekonomi akibat pandemi Corona sangat besar, sehingga 50 persennya terkena imbas dari tingkat penjualan dan produksi. ""Ada 10 ribu UMKM yang terdampak, sebagian besar sudah merumahkan pegawainya. Ada yang berhenti produksi untuk sementara waktu, ada juga yang tetap bertahan,"" kata Tohari kepada detik.com, Kamis (23/4/2020). Tohari menjelaskan, mayoritas UMKM yang terdampak ialah konveksi dan kerajinan tangan, sedangkan untuk usaha makanan masih bisa bertahan di tengah wabah ini. Menurutnya, Pemkab Cianjur melalui Diskoperindag sudah melakukan pendataan untuk UMKM yang terdampak. Nantinya data itu akan dilaporkan ke Pemprov dan Pemerintah pusat agar mendapat bantuan.Khusus dari Pemkab Cianjur lanjut dia, UMKM konveksi yang bertahan dengan beralih menjadi produksi masker akan dibeli hasil produksinya. ""Dari pusat dan provinsi kami upayakan agar UMKM ini dapat bantuan yang bisa meringankan beban mereka. Tapi untuk yang beralih ke produksi masker, kami akan beli untuk nanti disebarkan ke masyarakat yang berada di zona yang potensi penyebaran Coronya-nya tinggi,"" tuturnya. Dampak ekonomi dari wabah corona untuk pelaku UMKM, dirasakan juga oleh Pengerajin Kancing di Kecamatan Naringgul, Cianjur.Usup ( 55) pemilik UMKM produksi kancing, mengaku sejak sebulan lalu, produksknya terus mengalami penurunan. Bahkan dua pekan terakhir tidak ada yang nerima produksi kancing, karena pertokoan di Bandung yang biasa menerima hasil produksinya sudah tutup.Ia pun terpaksa merumahkan 50 orang pekerjanya. Bahkan kemungkinan dalam waktu dekat dia akan menutup sementara tempat usahanya tersebut. ""Sekarang sudah tidak produksi, karyawan sebagian besar dirumahkan. Kalau kondisinya begini terus, kemungkinan tutup dulu hingga semuanya normal lagi,"" tuturnya.",finance
